Gene_ID,Gene_Name,Colon_FoldChange,Colon_pValue,Lung_FoldChange,Lung_pValue,Abs_Colon_FoldChange,Abs_Lung_FoldChange
ENSG00000186496,ZNF396,-0.6,0.359808571670026,-1.6,0.0173147087861366,0.6,1.6
ENSG00000186529,CYP4F3,-2.7,0.000151048842761196,2.2,0.0089948360705476,2.7,2.2
ENSG00000186567,CEACAM19,-0.4,0.506491484105642,-1.7,0.000584680620461107,0.4,1.7
ENSG00000186594,MIR22HG,-1.1,0.142588017436029,-1.6,0.0035019970658963,1.1,1.6
ENSG00000186675,MAGEE2,-1.1,0.30076452687027,-4.2,2.28864052175626e-05,1.1,4.2
ENSG00000186723,OR10H1,-1.6,0.210396601393382,-2.8,0.0221525418692029,1.6,2.8
ENSG00000187048,CYP4A11,-1.6,0.181584298779786,-1.8,0.0046530525424284,1.6,1.8
ENSG00000187144,SPATA21,-3.3,0.0010355723246901,-2.8,0.0074066734658016,3.3,2.8
ENSG00000187323,DCC,0.1,0.928374838548027,-3.6,4.542724720934961e-09,0.1,3.6
ENSG00000187398,LUZP2,0.6,0.417374152827015,-2.0,0.0084887651016189,0.6,2.0
ENSG00000187416,LHFPL3,0.5,0.677976100191711,-6.2,7.535992627443271e-15,0.5,6.2
ENSG00000187498,COL4A1,1.0,0.0241516649646678,1.5,0.000119876914938436,1.0,1.5
ENSG00000187527,ATP13A5,-2.2,0.0674440941508865,-4.3,3.8601316481056e-06,2.2,4.3
ENSG00000187535,IFT140,-2.0,0.000358266052708531,-1.7,0.0042476540740767,2.0,1.7
ENSG00000187609,EXD3,-1.8,0.000932770031308332,-2.1,0.000115100006123023,1.8,2.1
ENSG00000187783,TMEM72,-4.1,2.82996771757065e-08,-2.9,0.00965192581027,4.1,2.9
ENSG00000187837,H1-2,0.7,0.146164575012386,1.5,0.020337040561573,0.7,1.5
ENSG00000187840,EIF4EBP1,1.0,0.229087907796187,2.2,0.000419699467731153,1.0,2.2
ENSG00000187889,FYB2,-0.4,0.715984598739302,-1.6,0.0480897995501342,0.4,1.6
ENSG00000187908,DMBT1,-0.3,0.779470436864929,-2.0,0.0017345823805544,0.3,2.0
ENSG00000187950,OVCH1,-2.7,0.000250455711975696,-1.8,0.0195271621238846,2.7,1.8
ENSG00000188051,TMEM221,-1.2,0.309659923347335,-2.4,0.0203244832938414,1.2,2.4
ENSG00000188124,OR2AG2,-0.8,0.470723120447939,2.2,0.0142701439064306,0.8,2.2
ENSG00000188257,PLA2G2A,-0.6,0.417059617886772,4.3,7.09776664016545e-10,0.6,4.3
ENSG00000188322,SBK1,-2.3,0.0053307142241508,-1.6,0.0232339830946945,2.3,1.6
ENSG00000188404,SELL,-1.2,0.202754220374384,1.8,0.000629045947405104,1.2,1.8
ENSG00000188483,IER5L,0.7,0.336688544149024,2.2,0.0043176250252461,0.7,2.2
ENSG00000188487,INSC,-0.5,0.616223407694485,-2.3,0.0104994775589714,0.5,2.3
ENSG00000188511,C22orf34,-2.9,0.000170961628159403,-1.7,0.0286860239002992,2.9,1.7
ENSG00000188536,HBA2,-0.2,0.889217436403639,2.0,0.0083872940359447,0.2,2.0
ENSG00000188549,CCDC9B,-0.4,0.566059588529087,-2.0,9.91836234598957e-10,0.4,2.0
ENSG00000188681,TEKT4P2,-3.3,0.0034431840697642,-2.3,0.0346417828911996,3.3,2.3
ENSG00000188803,SHISA6,-0.1,0.944263043928651,-1.8,0.0426521515029474,0.1,1.8
ENSG00000188818,ZDHHC11,-0.5,0.593908588975844,-1.6,0.0180974176779757,0.5,1.6
ENSG00000188825,LINC00910,-0.9,0.210583769078422,-1.8,0.0115633734315456,0.9,1.8
ENSG00000189013,KIR2DL4,-0.9,0.44801652920818,2.7,0.0057356641598205,0.9,2.7
ENSG00000189057,FAM111B,-0.2,0.830214830429924,2.5,0.0035380981626104,0.2,2.5
ENSG00000189058,APOD,2.4,9.40835094999584e-06,2.6,7.65343004562642e-07,2.4,2.6
ENSG00000189060,H1-0,0.7,0.18964859856537,1.8,0.000530410213746812,0.7,1.8
ENSG00000189099,PRSS48,-1.4,0.0089869788635507,-1.7,0.0033155380616477,1.4,1.7
